43,1
36,0
49,1
71,1
32,0
3,1
27,1
23,1
29,1
16,0
74,0
51,1
38,0
50,0
81,1
48,0
12,0
27,1
89,1
97,1
81,1
66,0
72,0
51,1
7,1
61,1
81,1
17,1
13,1
57,1
39,1
7,1
78,0
40,0
97,1
5,1
78,0
99,1
78,0
62,0
65,1
99,1
56,0
12,0
83,1
84,0
31,1
18,0
73,1
91,1
17,1
62,0
27,1
57,1
56,0
67,1
99,1
3,1
93,1
90,0
64,0
24,0
74,0
60,0
49,1
32,0
56,0
76,0
65,1
44,0
73,1
5,1
73,1
28,0
77,1
46,0
32,0
15,1
81,1
75,1
89,1
83,1
50,0
33,1
63,1
82,0
28,0
36,0
26,0
80,0
31,1
78,0
30,0
8,0
48,0
74,0
34,0
31,1
40,0
27,1
